"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 09 14:09:33 GMT 2025","Wed Jul 09 14:09:33 GMT 2025","713","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_set_params",""
"passed","Wed Jul 09 14:09:34 GMT 2025","Wed Jul 09 14:09:34 GMT 2025","0","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_get_schema_names",""
"passed","Wed Jul 09 14:09:33 GMT 2025","Wed Jul 09 14:09:33 GMT 2025","247","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_data_write",""
"broken","Wed Jul 09 14:09:31 GMT 2025","Wed Jul 09 14:09:31 GMT 2025","2","tests.integration","test_sqlalchemy_async_integration","TestAsyncFireboltDialect","","","test_data_write",""
"broken","Wed Jul 09 14:09:31 GMT 2025","Wed Jul 09 14:09:31 GMT 2025","1","tests.integration","test_sqlalchemy_async_integration","TestAsyncFireboltDialect","","","test_get_table_names",""
"broken","Wed Jul 09 14:09:31 GMT 2025","Wed Jul 09 14:09:31 GMT 2025","2","tests.integration","test_sqlalchemy_async_integration","TestAsyncFireboltDialect","","","test_set_params",""
"passed","Wed Jul 09 14:09:34 GMT 2025","Wed Jul 09 14:09:34 GMT 2025","100","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_get_table_names",""
"broken","Wed Jul 09 14:09:31 GMT 2025","Wed Jul 09 14:09:31 GMT 2025","2","tests.integration","test_sqlalchemy_async_integration","TestAsyncFireboltDialect","","","test_create_ex_table",""
"passed","Wed Jul 09 14:09:32 GMT 2025","Wed Jul 09 14:09:33 GMT 2025","487","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_create_ex_table",""
"passed","Wed Jul 09 14:09:34 GMT 2025","Wed Jul 09 14:09:34 GMT 2025","35","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_get_columns",""
"passed","Wed Jul 09 14:09:34 GMT 2025","Wed Jul 09 14:09:34 GMT 2025","307","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_agg_index",""
"passed","Wed Jul 09 14:09:34 GMT 2025","Wed Jul 09 14:09:35 GMT 2025","144","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_service_account_connect",""
"passed","Wed Jul 09 14:09:33 GMT 2025","Wed Jul 09 14:09:34 GMT 2025","90","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_firebolt_types",""
"passed","Wed Jul 09 14:09:34 GMT 2025","Wed Jul 09 14:09:34 GMT 2025","68","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_has_table",""
"broken","Wed Jul 09 14:09:31 GMT 2025","Wed Jul 09 14:09:31 GMT 2025","1","tests.integration","test_sqlalchemy_async_integration","TestAsyncFireboltDialect","","","test_get_columns",""
