"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 28 12:10:15 GMT 2024","Wed Aug 28 12:10:15 GMT 2024","741","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_create_ex_table",""
"passed","Wed Aug 28 12:10:17 GMT 2024","Wed Aug 28 12:10:17 GMT 2024","0","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_get_schema_names",""
"passed","Wed Aug 28 12:10:17 GMT 2024","Wed Aug 28 12:10:17 GMT 2024","254","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_firebolt_types",""
"skipped","Wed Aug 28 12:10:13 GMT 2024","Wed Aug 28 12:10:13 GMT 2024","0","tests.integration","test_sqlalchemy_async_integration","TestAsyncFireboltDialect","","","test_set_params",""
"skipped","Wed Aug 28 12:10:13 GMT 2024","Wed Aug 28 12:10:13 GMT 2024","0","tests.integration","test_sqlalchemy_async_integration","TestAsyncFireboltDialect","","","test_get_columns",""
"passed","Wed Aug 28 12:10:18 GMT 2024","Wed Aug 28 12:10:18 GMT 2024","86","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_get_columns",""
"passed","Wed Aug 28 12:10:15 GMT 2024","Wed Aug 28 12:10:16 GMT 2024","828","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_set_params",""
"passed","Wed Aug 28 12:10:17 GMT 2024","Wed Aug 28 12:10:18 GMT 2024","132","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_has_table",""
"skipped","Wed Aug 28 12:10:13 GMT 2024","Wed Aug 28 12:10:13 GMT 2024","1","tests.integration","test_sqlalchemy_async_integration","TestAsyncFireboltDialect","","","test_get_table_names",""
"passed","Wed Aug 28 12:10:18 GMT 2024","Wed Aug 28 12:10:19 GMT 2024","464","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_service_account_connect",""
"passed","Wed Aug 28 12:10:17 GMT 2024","Wed Aug 28 12:10:17 GMT 2024","497","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_agg_index",""
"passed","Wed Aug 28 12:10:18 GMT 2024","Wed Aug 28 12:10:18 GMT 2024","251","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_get_table_names",""
"passed","Wed Aug 28 12:10:16 GMT 2024","Wed Aug 28 12:10:17 GMT 2024","406","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_data_write",""
"skipped","Wed Aug 28 12:10:13 GMT 2024","Wed Aug 28 12:10:13 GMT 2024","0","tests.integration","test_sqlalchemy_async_integration","TestAsyncFireboltDialect","","","test_data_write",""
"skipped","Wed Aug 28 12:10:13 GMT 2024","Wed Aug 28 12:10:13 GMT 2024","1","tests.integration","test_sqlalchemy_async_integration","TestAsyncFireboltDialect","","","test_create_ex_table",""
