"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 10 08:06:58 GMT 2025","Thu Jul 10 08:06:59 GMT 2025","412","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_create_ex_table",""
"skipped","Thu Jul 10 08:06:56 GMT 2025","Thu Jul 10 08:06:56 GMT 2025","0","tests.integration","test_sqlalchemy_async_integration","TestAsyncFireboltDialect","","","test_create_ex_table",""
"skipped","Thu Jul 10 08:06:56 GMT 2025","Thu Jul 10 08:06:56 GMT 2025","0","tests.integration","test_sqlalchemy_async_integration","TestAsyncFireboltDialect","","","test_data_write",""
"passed","Thu Jul 10 08:06:59 GMT 2025","Thu Jul 10 08:06:59 GMT 2025","764","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_set_params",""
"passed","Thu Jul 10 08:07:00 GMT 2025","Thu Jul 10 08:07:00 GMT 2025","22","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_get_columns",""
"passed","Thu Jul 10 08:07:00 GMT 2025","Thu Jul 10 08:07:00 GMT 2025","53","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_firebolt_types",""
"skipped","Thu Jul 10 08:06:56 GMT 2025","Thu Jul 10 08:06:56 GMT 2025","0","tests.integration","test_sqlalchemy_async_integration","TestAsyncFireboltDialect","","","test_get_columns",""
"passed","Thu Jul 10 08:07:00 GMT 2025","Thu Jul 10 08:07:00 GMT 2025","74","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_get_table_names",""
"passed","Thu Jul 10 08:07:00 GMT 2025","Thu Jul 10 08:07:00 GMT 2025","59","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_has_table",""
"passed","Thu Jul 10 08:07:00 GMT 2025","Thu Jul 10 08:07:00 GMT 2025","184","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_service_account_connect",""
"skipped","Thu Jul 10 08:06:56 GMT 2025","Thu Jul 10 08:06:56 GMT 2025","0","tests.integration","test_sqlalchemy_async_integration","TestAsyncFireboltDialect","","","test_set_params",""
"passed","Thu Jul 10 08:07:00 GMT 2025","Thu Jul 10 08:07:00 GMT 2025","0","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_get_schema_names",""
"passed","Thu Jul 10 08:06:59 GMT 2025","Thu Jul 10 08:07:00 GMT 2025","249","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_data_write",""
"skipped","Thu Jul 10 08:06:56 GMT 2025","Thu Jul 10 08:06:56 GMT 2025","0","tests.integration","test_sqlalchemy_async_integration","TestAsyncFireboltDialect","","","test_get_table_names",""
"passed","Thu Jul 10 08:07:00 GMT 2025","Thu Jul 10 08:07:00 GMT 2025","290","tests.integration","test_sqlalchemy_integration","TestFireboltDialect","","","test_agg_index",""
